sample_id,timeseries_path,json_path,image_path,label_id,label_name,n_rows,n_cols,num_nan,num_inf,min,max,mean,std,rms,is_constant,is_valid_shape,error_message,is_valid,problems
노이즈_고체_ACSR-OC_230910_195222_HFCT_1000,Train/01.원천데이터/VS_노이즈_고체_ACSR-OC/노이즈_고체_ACSR-OC_230910_195222_HFCT_1000.csv,Train/02.라벨링데이터/VL_노이즈_고체_ACSR-OC/노이즈_고체_ACSR-OC_230910_195222_HFCT_1000.json,Train/01.원천데이터/VS_노이즈_고체_ACSR-OC/노이즈_고체_ACSR-OC_230910_195222_HFCT_1000.png,1,노이즈,20,7680,0,0,5.0,82.0,29.969524383544922,4.965281009674072,30.37805938720703,False,True,,True,
노이즈_고체_ACSR-OC_230910_195229_HFCT_500,Train/01.원천데이터/VS_노이즈_고체_ACSR-OC/노이즈_고체_ACSR-OC_230910_195229_HFCT_500.csv,Train/02.라벨링데이터/VL_노이즈_고체_ACSR-OC/노이즈_고체_ACSR-OC_230910_195229_HFCT_500.json,Train/01.원천데이터/VS_노이즈_고체_ACSR-OC/노이즈_고체_ACSR-OC_230910_195229_HFCT_500.png,1,노이즈,20,7680,0,0,5.0,75.0,25.91912841796875,4.460919380187988,26.300207138061523,False,True,,True,
노이즈_고체_ACSR-OC_230910_195243_HFCT_1000,Train/01.원천데이터/VS_노이즈_고체_ACSR-OC/노이즈_고체_ACSR-OC_230910_195243_HFCT_1000.csv,Train/02.라벨링데이터/VL_노이즈_고체_ACSR-OC/노이즈_고체_ACSR-OC_230910_195243_HFCT_1000.json,Train/01.원천데이터/VS_노이즈_고체_ACSR-OC/노이즈_고체_ACSR-OC_230910_195243_HFCT_1000.png,1,노이즈,20,7680,0,0,5.0,82.0,29.868867874145508,4.969897270202637,30.279518127441406,False,True,,True,
노이즈_고체_ACSR-OC_230910_195248_HFCT_1500,Train/01.원천데이터/VS_노이즈_고체_ACSR-OC/노이즈_고체_ACSR-OC_230910_195248_HFCT_1500.csv,Train/02.라벨링데이터/VL_노이즈_고체_ACSR-OC/노이즈_고체_ACSR-OC_230910_195248_HFCT_1500.json,Train/01.원천데이터/VS_노이즈_고체_ACSR-OC/노이즈_고체_ACSR-OC_230910_195248_HFCT_1500.png,1,노이즈,20,7680,0,0,5.0,79.0,29.747032165527344,4.502994537353516,30.085926055908203,False,True,,True,
노이즈_고체_ACSR-OC_230910_195250_HFCT_500,Train/01.원천데이터/VS_노이즈_고체_ACSR-OC/노이즈_고체_ACSR-OC_230910_195250_HFCT_500.csv,Train/02.라벨링데이터/VL_노이즈_고체_ACSR-OC/노이즈_고체_ACSR-OC_230910_195250_HFCT_500.json,Train/01.원천데이터/VS_노이즈_고체_ACSR-OC/노이즈_고체_ACSR-OC_230910_195250_HFCT_500.png,1,노이즈,20,7680,0,0,5.0,74.0,25.92249298095703,4.47780704498291,26.306394577026367,False,True,,True,
노이즈_고체_ACSR-OC_230910_195311_HFCT_500,Train/01.원천데이터/VS_노이즈_고체_ACSR-OC/노이즈_고체_ACSR-OC_230910_195311_HFCT_500.csv,Train/02.라벨링데이터/VL_노이즈_고체_ACSR-OC/노이즈_고체_ACSR-OC_230910_195311_HFCT_500.json,Train/01.원천데이터/VS_노이즈_고체_ACSR-OC/노이즈_고체_ACSR-OC_230910_195311_HFCT_500.png,1,노이즈,20,7680,0,0,5.0,75.0,26.010515213012695,4.490164279937744,26.395235061645508,False,True,,True,
노이즈_고체_ACSR-OC_230910_195325_HFCT_1000,Train/01.원천데이터/VS_노이즈_고체_ACSR-OC/노이즈_고체_ACSR-OC_230910_195325_HFCT_1000.csv,Train/02.라벨링데이터/VL_노이즈_고체_ACSR-OC/노이즈_고체_ACSR-OC_230910_195325_HFCT_1000.json,Train/01.원천데이터/VS_노이즈_고체_ACSR-OC/노이즈_고체_ACSR-OC_230910_195325_HFCT_1000.png,1,노이즈,20,7680,0,0,5.0,81.0,29.96795654296875,4.946321487426758,30.373414993286133,False,True,,True,
노이즈_고체_ACSR-OC_230910_195330_HFCT_1500,Train/01.원천데이터/VS_노이즈_고체_ACSR-OC/노이즈_고체_ACSR-OC_230910_195330_HFCT_1500.csv,Train/02.라벨링데이터/VL_노이즈_고체_ACSR-OC/노이즈_고체_ACSR-OC_230910_195330_HFCT_1500.json,Train/01.원천데이터/VS_노이즈_고체_ACSR-OC/노이즈_고체_ACSR-OC_230910_195330_HFCT_1500.png,1,노이즈,20,7680,0,0,5.0,80.0,29.7275390625,4.471324443817139,30.06192398071289,False,True,,True,
노이즈_고체_ACSR-OC_230910_195332_HFCT_500,Train/01.원천데이터/VS_노이즈_고체_ACSR-OC/노이즈_고체_ACSR-OC_230910_195332_HFCT_500.csv,Train/02.라벨링데이터/VL_노이즈_고체_ACSR-OC/노이즈_고체_ACSR-OC_230910_195332_HFCT_500.json,Train/01.원천데이터/VS_노이즈_고체_ACSR-OC/노이즈_고체_ACSR-OC_230910_195332_HFCT_500.png,1,노이즈,20,7680,0,0,5.0,74.0,26.003679275512695,4.464941024780273,26.384218215942383,False,True,,True,
노이즈_고체_ACSR-OC_230910_195351_HFCT_1500,Train/01.원천데이터/VS_노이즈_고체_ACSR-OC/노이즈_고체_ACSR-OC_230910_195351_HFCT_1500.csv,Train/02.라벨링데이터/VL_노이즈_고체_ACSR-OC/노이즈_고체_ACSR-OC_230910_195351_HFCT_1500.json,Train/01.원천데이터/VS_노이즈_고체_ACSR-OC/노이즈_고체_ACSR-OC_230910_195351_HFCT_1500.png,1,노이즈,20,7680,0,0,5.0,78.0,29.732362747192383,4.487027645111084,30.069034576416016,False,True,,True,
